DATE,HOTEL_ID,DTA,LOS,BOOKING_DOW,BOOKINGS,GMV
2020-03-21,151105,0,1,Sat,1,46.0959744
2020-03-24,725345,0,1,Tue,1,62.6648064
2020-03-06,175774,0,1,Fri,1,109.8571264
2020-03-09,208515,0,1,Mon,1,73.5788032
2020-03-20,108753,0,1,Fri,2,145.2864
2020-03-18,754345,0,1,Wed,1,86.7679232
2020-03-14,126235,0,1,Sat,1,51.1985152
2020-03-02,130570,0,1,Mon,1,57.7188864
2020-03-17,112223,0,1,Tue,1,53.4406656
2020-03-14,1678652,0,2,Sat,1,121.7438208
2020-03-07,313673,0,1,Sat,1,66.6380288
2020-03-10,146920,0,3,Tue,1,117.9849216
2020-03-12,128335,1,1,Thu,1,78.2609408
2020-03-21,560780,0,4,Sat,1,272.2811392
2020-03-21,138312,1,1,Sat,1,46.3927296
2020-03-28,124928,0,1,Sat,1,60.3731968
2020-03-23,213849,0,3,Mon,1,160.8165888
2020-03-17,217932,1,3,Tue,1,167.3287168
2020-03-26,510145,1,1,Thu,1,45.9228672
2020-03-26,151044,0,1,Thu,1,70.025984
2020-03-16,171399,1,1,Mon,1,55.270656
2020-03-13,218905,1,3,Fri,1,239.4484736
2020-03-22,208618,0,1,Sun,1,76.7936512
2020-03-21,121489,0,4,Sat,1,314.3626752
2020-03-07,126892,0,1,Sat,1,70.4216576
2020-03-21,267098,0,2,Sat,1,173.8408448
2020-03-20,106751,0,1,Fri,1,56.2680832
2020-03-22,211107,0,1,Sun,1,60.9749504
2020-03-03,125612,0,4,Tue,1,136.6557696
2020-03-08,171254,0,1,Sun,1,53.5230976
2020-03-06,236148,20,3,Fri,1,165.8284544
2020-03-09,229513,1,1,Mon,1,84.6082048
2020-03-14,122715,0,2,Sat,1,94.59072
2020-03-27,149310,0,1,Fri,1,60.1094144
2020-03-03,151663,0,4,Tue,1,231.3206784
